0.03618 -0.01243 -0.02339 0.04859
0.03593 -0.20720 -0.02242 0.33380
0.03179 -0.01177 -0.01574 0.03414
0.03155 -0.20666 -0.01506 0.32181
0.02742 -0.01133 -0.00862 0.02442
0.02720 -0.20633 -0.00813 0.31437
0.02307 -0.01109 -0.00185 0.01913
0.02285 -0.20619 -0.00146 0.31123
0.01872 -0.01104 0.00476 0.01808
0.01850 -0.20623 0.00512 0.31227
0.01438 -0.01118 0.01137 0.02120
0.01415 -0.20647 0.01179 0.31745
0.01002 -0.01152 0.01814 0.02851
0.00979 -0.20689 0.01871 0.32686
0.00566 -0.01204 0.02525 0.04014
0.00542 -0.20752 0.02605 0.34068
0.00127 -0.01277 0.03286 0.05632
0.00101 -0.20835 0.03399 0.35919
-0.00316 -0.01373 0.04117 0.07741
-0.00343 -0.20942 0.04272 0.38280
-0.00762 -0.01493 0.05038 0.10388
-0.00792 -0.21073 0.05246 0.41203
-0.01213 -0.01639 0.06070 0.13633
-0.01246 0.17781 0.06342 -0.13660
-0.00891 -0.01816 0.06069 0.17540
-0.00927 0.17604 0.06420 -0.09754
-0.00575 -0.01994 0.06225 0.21469
-0.00615 0.17424 0.06654 -0.05773
-0.00266 -0.02177 0.06539 0.25518
-0.00310 0.17236 0.07049 -0.01618
0.00035 -0.02370 0.07017 0.29789
-0.00012 0.17036 0.07612 0.02813
0.00328 -0.02577 0.07669 0.34383
0.00277 0.16818 0.08356 0.07628
0.00613 0.36202 0.08509 -0.18891
0.01337 0.16579 0.08131 0.12935
0.01669 0.35965 0.08390 -0.13661
0.02388 0.16344 0.08117 0.18132
0.02715 0.35731 0.08479 -0.08470
0.03430 0.16108 0.08310 0.23349
0.03752 0.35492 0.08777 -0.03187
0.04462 0.54868 0.08713 -0.29562
0.05559 0.35244 0.08122 0.02322
0.06264 0.54630 0.08168 -0.24277
0.07356 0.35012 0.07683 0.07452
0.08057 0.54406 0.07832 -0.19297
0.09145 0.34791 0.07446 0.12335
0.09841 0.54189 0.07693 -0.14494
0.10924 0.34575 0.07403 0.17098
0.11616 0.53974 0.07745 -0.09746
0.12695 0.73367 0.07550 -0.36474
0.14163 0.53756 0.06820 -0.04924
0.15238 0.73165 0.06722 -0.31965
0.16701 0.53563 0.06082 -0.00655
0.17772 0.72983 0.06069 -0.27943
0.19232 0.53390 0.05510 0.03176
0.20300 0.72819 0.05574 -0.24304
0.21756 0.53232 0.05088 0.06669
0.22821 0.72668 0.05221 -0.20952
0.24274 0.53085 0.04802 0.09917
0.25336 0.72525 0.05001 -0.17799
0.26786 0.52945 0.04645 0.13004
0.27845 0.72388 0.04905 -0.14763
0.29293 0.52809 0.04609 0.16011
0.30349 0.72252 0.04930 -0.11768
0.31794 0.52673 0.04694 0.19014
0.32848 0.72115 0.05075 -0.08738
0.34290 0.91551 0.04900 -0.36363
0.36121 0.71972 0.04173 -0.05590
0.37561 0.91422 0.04061 -0.33514
0.39389 0.71855 0.03390 -0.02993
0.40826 0.91317 0.03331 -0.31173
0.42652 0.71759 0.02707 -0.00873
0.44088 0.91231 0.02690 -0.29275
0.45912 0.71682 0.02104 0.00830
0.47346 0.91163 0.02121 -0.27767
0.49169 0.71621 0.01565 0.02162
0.50602 0.91111 0.01609 -0.26608
0.52424 0.71576 0.01077 0.03163
0.53855 0.91072 0.01140 -0.25764
0.55677 0.71544 0.00625 0.03862
0.57108 0.91047 0.00702 -0.25209
0.58929 0.71525 0.00198 0.04280
0.60359 0.91035 0.00283 -0.24926
0.62180 0.71518 -0.00215 0.04432
0.63610 0.91034 -0.00127 -0.24904
0.65431 0.71523 -0.00625 0.04324
0.66861 0.91044 -0.00538 -0.25141
0.68682 0.71540 -0.01041 0.03957
0.70113 0.52043 -0.00962 0.32895
0.71154 0.71568 -0.00304 0.03325
0.72585 0.52061 -0.00238 0.32497
0.73626 0.71576 0.00412 0.03154
0.75058 0.91082 0.00476 -0.25984
0.76880 0.71564 -0.00044 0.03434
0.78311 0.91076 0.00025 -0.25848
0.80132 0.71564 -0.00492 0.03428
0.81564 0.52059 -0.00424 0.32541
0.82605 0.71577 0.00227 0.03139
0.84036 0.91086 0.00290 -0.26058
0.85858 0.71570 -0.00231 0.03302
0.87289 0.52061 -0.00165 0.32497
